host,tool,indent,user,time,method,request_path,status,size,referer,agent
192.168.4.25,acunetix,-,-,22/Dec/2016:16:20:49 +0300,POST,/index.php/component/search/ HTTP/1.1,303,376,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:18:20 +0300,GET,/templates/beez_20/css/personal.css HTTP/1.1,200,4918,"http://192.168.4.161/?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:28:11 +0300,POST,/index.php/component/search/ HTTP/1.1,303,378,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:25:15 +0300,POST,/index.php/component/search/ HTTP/1.1,303,372,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:26:04 +0300,POST,/index.php/component/search/ HTTP/1.1,303,371,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:27:34 +0300,POST,/index.php/component/search/ HTTP/1.1,303,413,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:28:41 +0300,POST,/index.php/component/search/ HTTP/1.1,500,2011,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:25:45 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3086,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:20:01 +0300,GET,/index.php/2-uncategorised/1--1'%20OR%202%2b196-196-1=0%2b0%2b0%2b1%20or%20'01Fg5alL'=' HTTP/1.1,200,3304,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:39:05 +0300,POST,/index.php/component/users/?task=user.login HTTP/1.1,303,385,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:37:41 +0300,POST,/index.php/component/users/?task=/etc/passwd HTTP/1.1,200,2767,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:40:05 +0300,POST,/index.php/component/users/?task=user.login HTTP/1.1,303,385,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:21:23 +0300,POST,/index.php/component/search/ HTTP/1.1,303,393,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:34:32 +0300,POST,/index.php/component/search/ HTTP/1.1,303,396,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:36:25 +0300,POST,/index.php/component/search/ HTTP/1.1,303,4459,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:20:43 +0300,POST,/index.php/component/search/ HTTP/1.1,303,380,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:30:03 +0300,POST,/administrator/index.php HTTP/1.1,500,1522,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:18:11 +0300,GET,/$sitepreview/localhost:2006/Wizard/ HTTP/1.1,404,526,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:18:19 +0300,GET,/media/system/js/mootools-more.js HTTP/1.1,200,68451,"http://192.168.4.161/index.php/component/users/?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)&view=reset","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:34:28 +0300,GET,/index.php/component/search/?ordering=newest%26n944645=v964541&searchphrase=all&searchword= HTTP/1.1,200,3123,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:18:27 +0300,GET,/templates/beez_20/css/print.css HTTP/1.1,200,2149,"http://192.168.4.161/index.php/component/users/?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:36:26 +0300,GET,"/index.php/component/search/?ordering=newest&searchphrase=any&searchword=%f0''%f0\""\"" HTTP/1.1",200,3148,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:33:06 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3052,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:35:46 +0300,POST,/index.php HTTP/1.1,303,368,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:30:08 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3085,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:34:17 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3056,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:36:34 +0300,POST,/index.php/component/search/ HTTP/1.1,303,371,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:38:51 +0300,POST,/index.php/component/users/?task=registration.register HTTP/1.1,200,237,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:23:03 +0300,POST,/index.php/component/search/ HTTP/1.1,303,355,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:21:43 +0300,POST,/index.php/component/search/ HTTP/1.1,303,409,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:18:46 +0300,POST,/index.php HTTP/1.1,200,339,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:30:52 +0300,POST,/DVWA/login.php HTTP/1.1,302,469,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:32:02 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3056,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:39:12 +0300,POST,/index.php/component/users/?task=registration.register HTTP/1.1,200,237,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:32:44 +0300,POST,/administrator/index.php HTTP/1.1,303,382,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:21:25 +0300,POST,/index.php/component/search/ HTTP/1.1,303,373,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:26:15 +0300,POST,/index.php/component/search/ HTTP/1.1,303,375,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:31:48 +0300,POST,/index.php HTTP/1.1,404,3997,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:28:47 +0300,POST,/index.php/component/search/ HTTP/1.1,303,405,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:20:52 +0300,POST,/index.php/component/search/ HTTP/1.1,303,380,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:18:26 +0300,GET,/media/system/js/caption.js HTTP/1.1,200,751,"http://192.168.4.161/index.php/component/content/?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:21:33 +0300,POST,/index.php/component/search/ HTTP/1.1,303,378,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:25:03 +0300,POST,/index.php/component/search/ HTTP/1.1,500,2023,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:38:11 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3053,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:25:59 +0300,POST,/index.php/component/search/ HTTP/1.1,303,363,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:21:59 +0300,POST,/index.php/component/search/ HTTP/1.1,303,385,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:32:02 +0300,GET,/index.php/component/search/?searchword=acu4052%EF%BC%9Cs1%EF%B9%A5s2%CA%BAs3%CA%B9uca4052&ordering=oldest&searchphrase=all&areas[0]=categories HTTP/1.1,200,3289,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:24:58 +0300,POST,/index.php/component/search/ HTTP/1.1,500,2055,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:21:55 +0300,POST,/index.php/component/search/ HTTP/1.1,303,399,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:26:45 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3086,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:24:50 +0300,POST,/index.php/component/search/ HTTP/1.1,303,382,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:31:01 +0300,GET,/index.php/%24{9999410%2b9999115}/users/ HTTP/1.1,404,3996,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:27:56 +0300,POST,/index.php/component/search/ HTTP/1.1,303,377,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:18:08 +0300,GET,/ HTTP/1.1,200,3276,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:27:41 +0300,POST,/index.php/component/search/ HTTP/1.1,303,367,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:37:44 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3057,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:27:34 +0300,GET,/index.php/component/search/?searchword=&ordering=popular&searchphrase=any&areas[0]=categoriesacxScRiPtkzsy9922ScRiPt HTTP/1.1,200,3162,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:21:42 +0300,POST,/index.php/component/search/ HTTP/1.1,303,380,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:34:52 +0300,GET,/index.php/component/search/?ordering=newest&searchphrase=any&searchword=Http://testasp.vulnweb.com/t/fit.txt HTTP/1.1,200,3259,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:25:16 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3056,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:28:48 +0300,POST,/index.php/component/search/ HTTP/1.1,303,408,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:22:18 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3055,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:21:56 +0300,POST,/index.php/component/search/ HTTP/1.1,303,371,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:22:16 +0300,POST,/index.php/component/search/ HTTP/1.1,303,373,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:28:14 +0300,POST,/index.php/component/search/ HTTP/1.1,500,2035,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:26:58 +0300,POST,/index.php/component/search/ HTTP/1.1,303,439,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:26:34 +0300,POST,/index.php/component/search/ HTTP/1.1,500,2015,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:27:10 +0300,POST,/index.php/component/search/ HTTP/1.1,500,2055,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:28:06 +0300,POST,/index.php/component/search/ HTTP/1.1,303,376,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:32:55 +0300,POST,/index.php HTTP/1.1,303,368,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:27:04 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3053,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:30:08 +0300,POST,/index.php/component/search/ HTTP/1.1,303,377,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:37:18 +0300,GET,/index.php/2-uncategorised/1-testsayfasi?page=&print=-1,%20waitfor%20delay%20'0:0:6'%20--%20&tmpl=component HTTP/1.1,200,1525,http://192.168.4.161/DVWA
192.168.4.25,acunetix,-,-,22/Dec/2016:16:38:10 +0300,POST,/index.php/component/users/?task=user.login HTTP/1.1,200,237,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:25:58 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3084,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:28:34 +0300,POST,/index.php/component/search/ HTTP/1.1,200,3055,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:36:07 +0300,POST,/index.php/component/search/ HTTP/1.1,303,369,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:20:11 +0300,POST,/index.php/component/search/ HTTP/1.1,303,359,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:20:21 +0300,POST,/index.php/component/search/ HTTP/1.1,303,381,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
192.168.4.25,acunetix,-,-,22/Dec/2016:16:35:37 +0300,POST,/index.php/component/search/ HTTP/1.1,303,427,http://192.168.4.161/DVWA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.21 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.21"""
